anio,ronda,nivel,zona,grupo,cantidad_tiras,equipos
2022.0,1ra Fase,3,SUR,B,5,"CLUB ATLETICO PAMPERO, COLON FC, G.E DE LOMAS DE ZAMORA B, LOS ANDES, TALLERES"
2022.0,1ra Fase,3,SUR,C,6,"CLUB  ATLETICO Y PROGRESO DE BRANDSEN, CLUB SOCIAL ALEJANDRO KORN, CLUB SOCIAL EZEIZA, GUILLON BASQUET, JUVENTUD UNIDA, LOBOS ATHLETIC CLUB"
2022.0,1ra Fase,3,SUR,D,4,"CLUB EL FOGON, MUNICIPALIDAD DE AVELLANEDA, SPORTIVO ALSINA ORO, TAPONAZO  FUTBOL CLUB"
2022.0,2da Fase,3,SUR,UNICO,9,"CLUB  ATLETICO Y PROGRESO DE BRANDSEN, CLUB ATLETICO PAMPERO, GUILLON BASQUET, JUVENTUD UNIDA, LA UNION, MORENO DE QUILMES, MUNICIPALIDAD DE AVELLANEDA, TALLERES, VILLA ESPAÑA"
2023.0,1ra Fase,1,CENTRO,A,6,"ARQUITECTURA NEGRO, FERROCARRIL OESTE A, GEVP CELESTE, PINOCHO, SAN LORENZO AZUL, VELEZ SARSFIELD BLANCO"
2023.0,2da Fase,1,CENTRO,A,8,"17 DE AGOSTO, COMUNICACIONES, EL TALAR, GEVP CELESTE, IMPERIO BLANCO, ITALIANO, PLATENSE MARRON, SAN LORENZO AZUL"
2023.0,1ra Fase,1,CENTRO,B,6,"COLEGIALES BLANCO, GEVP BLANCO, IMPERIO BLANCO, ITALIANO, OBRAS CENTRO, PEDRO ECHAGUE AZUL"
2023.0,2da Fase,1,CENTRO,B,8,"APV, ARQUITECTURA NEGRO, COLEGIALES BLANCO, FERROCARRIL OESTE B, JOSE HERNANDEZ A, PEDRO ECHAGUE AZUL, VELEZ SARSFIELD BLANCO, VILLA MITRE"
2023.0,1ra Fase,2,CENTRO,A,6,"17 DE AGOSTO, DEPORTIVO CROVARA  ""A"", JOSE HERNANDEZ A, MACABI, PLATENSE MARRON, VILLA MITRE"
2023.0,2da Fase,2,CENTRO,A,8,"ALL BOYS BLANCO, ARGENTINOS JUNIORS, ARMENIA, CIRCULO URQUIZA AZUL, COPELLO, DEPORTIVO CROVARA  ""A"", RACING ANEXO, SAN LORENZO ROJO"
